Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,74.24,0,0.0,1
03/11/2020,70.44,0,-5.12,-1
03/18/2020,63.4,0,-9.99,-1
03/25/2020,59.54,0,-6.09,-1
04/01/2020,62.81,0,5.49,1
04/08/2020,63.72,0,1.45,1
04/16/2020,69.97,0,9.81,1
04/23/2020,68.96,0,-1.44,-1
04/30/2020,71.31,0,3.41,1
05/07/2020,74.21,0,4.07,1
05/14/2020,77.69,0,4.69,1
05/21/2020,78.59,0,1.16,1
05/29/2020,79.5,0,1.16,1
06/05/2020,81.21,0,2.15,1
06/12/2020,85.25,0,4.97,1
06/19/2020,87.41,0,2.53,1
06/26/2020,90.2,0,3.19,1
07/06/2020,91.43,0,1.36,1
07/13/2020,95.12,0,4.04,1
07/20/2020,97.2,0,2.19,1
07/27/2020,94.91,0,-2.36,-1
08/03/2020,99.94,0,5.3,1
08/10/2020,111.49,0,11.56,1
08/17/2020,113.38,0,1.7,1
08/24/2020,119.95,0,5.79,1
08/31/2020,126.04,0,5.08,1
09/08/2020,124.05,0,-1.58,-1
09/15/2020,114.74,0,-7.51,-1
09/22/2020,110.24,0,-3.92,-1
09/29/2020,111.33,0,0.99,1
10/06/2020,115.06,0,3.35,1
10/13/2020,118.5,0,2.99,1
10/20/2020,118.88,0,0.32,1
10/27/2020,115.86,0,-2.54,-1
11/03/2020,110.92,0,-4.26,-1
11/10/2020,116.99,0,5.47,1
11/17/2020,119.53,0,2.17,1
11/24/2020,116.61,0,-2.44,-1
12/02/2020,119.49,0,2.47,1
12/09/2020,123.02,0,2.95,1
12/16/2020,124.62,0,1.3,1
12/23/2020,129.28,0,3.74,1
12/31/2020,133.99,0,3.64,1
01/08/2021,130.0,0,-2.98,-1
01/15/2021,128.94,0,-0.82,-1
01/25/2021,135.74,0,5.27,1
02/01/2021,137.68,0,1.43,1
02/08/2021,136.0,0,-1.22,-1
02/16/2021,135.02,0,-0.72,-1
02/23/2021,128.46,0,-4.86,-1
03/02/2021,124.1,0,-3.39,-1
03/09/2021,120.21,0,-3.13,-1
03/16/2021,122.51,0,1.91,1
03/23/2021,122.24,0,-0.22,-1
03/30/2021,120.64,0,-1.31,-1
04/07/2021,125.03,0,3.64,1
04/14/2021,132.21,0,5.74,1
04/21/2021,134.02,0,1.37,1
04/28/2021,133.79,0,-0.17,-1
05/05/2021,130.69,0,-2.32,-1
05/12/2021,127.1,0,-2.75,-1
05/19/2021,125.65,0,-1.14,-1
05/26/2021,126.72,0,0.85,1
06/03/2021,124.55,0,-1.71,-1
06/10/2021,126.35,0,1.45,1
06/17/2021,129.88,0,2.79,1
06/24/2021,132.77,0,2.23,1
07/01/2021,135.69,0,2.2,1
07/09/2021,142.98,0,5.37,1
07/16/2021,146.83,0,2.69,1
07/23/2021,145.87,0,-0.65,-1
07/30/2021,146.45,0,0.4,1
08/06/2021,146.61,0,0.11,1
08/13/2021,147.11,0,0.34,1
08/20/2021,148.51,0,0.95,1
08/27/2021,148.77,0,0.18,1
09/03/2021,153.08,0,2.9,1
09/13/2021,152.88,0,-0.13,-1
09/20/2021,146.99,0,-3.85,-1
09/27/2021,145.68,0,-0.89,-1
10/04/2021,141.61,0,-2.79,-1
10/11/2021,142.42,0,0.57,1
10/18/2021,143.51,0,0.77,1
10/25/2021,148.97,0,3.8,1
11/01/2021,149.9,0,0.62,1
11/08/2021,150.84,0,0.63,1
11/15/2021,149.32,0,-1.01,-1
11/22/2021,156.79,0,5.0,1
11/30/2021,161.14,0,2.77,1
12/07/2021,165.37,0,2.63,1
12/14/2021,175.83,0,6.33,1
12/21/2021,173.09,0,-1.56,-1
12/29/2021,178.18,0,2.94,1
01/05/2022,178.48,0,0.17,1
01/12/2022,173.39,0,-2.85,-1
01/20/2022,169.16,0,-2.44,-1
01/27/2022,160.54,0,-5.1,-1
02/03/2022,173.69,0,8.19,1
02/10/2022,173.46,0,-0.13,-1
02/17/2022,170.35,0,-1.79,-1
02/25/2022,163.86,0,-3.81,-1
03/04/2022,164.86,0,0.61,1
03/11/2022,158.59,0,-3.8,-1
03/18/2022,157.98,0,-0.38,-1
03/25/2022,170.64,0,8.01,1
04/01/2022,176.25,0,3.29,1
04/08/2022,173.51,0,-1.55,-1
04/18/2022,166.83,0,-3.85,-1
04/25/2022,165.14,0,-1.01,-1
05/02/2022,158.52,0,-4.01,-1
05/09/2022,158.32,0,-0.13,-1
05/16/2022,147.24,0,-7.0,-1
05/23/2022,141.62,0,-3.82,-1
05/31/2022,144.63,0,2.13,1
06/07/2022,148.03,0,2.35,1
06/14/2022,138.47,0,-6.46,-1
06/22/2022,133.65,0,-3.48,-1
06/29/2022,139.65,0,4.49,1
07/07/2022,141.3,0,1.18,1
07/14/2022,146.35,0,3.57,1
07/21/2022,151.33,0,3.4,1
07/28/2022,154.56,0,2.13,1
08/04/2022,163.19,0,5.58,1
08/11/2022,166.57,0,2.07,1
08/18/2022,173.4,0,4.1,1
08/25/2022,168.78,0,-2.66,-1
09/01/2022,159.82,0,-5.31,-1
09/09/2022,155.63,0,-2.62,-1
09/16/2022,155.13,0,-0.32,-1
09/23/2022,153.65,0,-0.95,-1
09/30/2022,146.61,0,-4.58,-1
10/07/2022,144.09,0,-1.72,-1
10/14/2022,139.82,0,-2.96,-1
10/21/2022,144.14,0,3.09,1
10/28/2022,150.34,0,4.3,1
11/04/2022,145.26,0,-3.38,-1
11/11/2022,141.97,0,-2.26,-1
11/18/2022,149.82,0,5.53,1
11/28/2022,148.32,0,-1.0,-1
12/05/2022,146.39,0,-1.3,-1
12/12/2022,142.63,0,-2.57,-1
12/19/2022,138.41,0,-2.96,-1
12/27/2022,132.37,0,-4.36,-1
01/04/2023,127.4,0,-3.75,-1
01/11/2023,129.8,0,1.88,1
01/19/2023,134.92,0,3.94,1
01/26/2023,141.47,0,4.85,1
02/02/2023,145.89,0,3.12,1
02/09/2023,152.73,0,4.69,1
02/16/2023,153.42,0,0.45,1
02/24/2023,149.21,0,-2.74,-1
03/03/2023,147.52,0,-1.13,-1
